VK,HT,FT
20,182,-1
77,106,203
20,125,251
89,96,205
32,110,161
87,122,193
73,96,106
70,133,175
69,124,249
32,115,350
65,113,199
78,95,107
68,97,115
32,105,113
20,141,393
73,88,186
20,97,116
32,94,119
87,111,231
69,133,148
78,100,162
84,103,168
32,108,214
84,89,207
79,113,102
32,105,121
20,141,393
73,88,186
20,97,116
90,181,299
65,115,444
75,96,152
65,111,230
89,91,156
65,118,180
32,109,156
20,141,393
71,99,202
8,248,403
70,122,338
20,125,251
85,98,170
189,119,282
71,99,202
65,116,174
32,109,156
70,105,198
79,176,118
82,99,119
32,105,123
79,98,296
85,103,146
82,104,273
32,116,151
65,115,247
78,99,120
73,120,177
86,103,143
69,109,140
82,114,121
83,117,208
65,118,173
82,120,166
89,96,156
190,101,385
32,118,218
20,195,599
73,88,186
20,97,116
32,94,119
87,111,231
65,127,155
83,113,138
32,113,145
65,103,272
32,92,100
76,89,288
73,94,155
84,214,145
76,121,233
69,110,121
32,123,132
87,113,240
79,112,102
82,174,118
73,98,155
69,102,130
68,90,196
32,114,100
65,129,244
66,98,174
79,116,105
85,111,89
84,93,121
32,101,174
71,92,239
79,170,147
73,136,115
78,129,112
71,105,96
32,130,105
84,104,198
79,111,86
32,120,146
65,105,234
32,112,169
80,100,241
76,107,173
65,111,111
67,119,174
69,111,145
32,107,123
87,106,194
69,142,193
222,95,212
68,102,190
32,108,136
78,111,177
69,139,110
86,99,185
69,132,164
82,107,116
32,165,131
66,92,319
69,155,142
78,91,325
32,101,141
84,104,138
79,124,105
32,136,176
66,88,250
69,110,151
70,99,270
79,111,133
82,119,87
69,122,77
188,117,312
32,112,128
66,94,253
85,101,142
84,97,147
32,102,122
77,103,205
89,101,230
32,111,136
67,102,279
79,121,131
78,104,143
67,92,145
69,94,164
82,116,128
78,98,222
83,106,181
32,112,183
87,122,217
69,123,129
78,100,162
84,103,168
32,108,214
65,107,222
87,108,229
65,124,161
89,90,152
32,91,148
84,110,227
72,102,105
69,95,122
32,110,105
77,109,205
79,132,161
77,122,164
69,104,149
78,96,138
84,99,133
32,108,152
87,106,234
69,159,156
32,122,228
71,102,305
79,175,172
84,120,154
32,106,132
73,107,218
78,128,155
32,117,107
84,106,152
72,100,105
69,112,90
32,107,111
68,99,195
79,118,117
82,101,138
190,102,272
32,177,186
20,195,599
84,91,221
20,121,156
72,95,186
69,99,301
32,132,200
77,108,190
73,105,168
78,93,216
73,126,153
77,114,157
65,105,158
76,229,115
73,107,154
83,122,170
84,106,254
32,107,127
68,94,273
69,106,187
67,113,220
79,96,108
82,109,146
32,105,144
73,101,226
83,110,118
32,103,119
86,88,174
69,122,173
82,103,115
89,93,159
32,116,164
84,78,153
65,120,156
83,126,226
84,114,226
69,99,153
70,116,225
85,89,119
76,154,193
32,115,209
65,112,174
78,82,133
68,99,101
32,96,88
77,100,198
79,120,171
68,101,262
69,111,189
82,114,121
78,98,222
188,111,361
32,108,161
65,105,180
78,93,113
68,100,103
32,112,127
84,100,219
72,101,94
69,104,103
32,103,128
72,93,256
79,114,193
83,133,234
84,102,167
69,117,159
83,119,180
32,106,190
87,112,237
65,120,145
83,120,169
32,108,152
70,93,187
82,105,174
73,98,153
69,94,133
78,93,153
68,112,140
76,111,175
89,95,161
32,101,196
65,120,231
78,97,100
68,106,103
32,98,96
83,102,264
69,128,173
65,134,188
84,129,184
69,96,202
68,112,200
32,98,152
85,109,426
83,129,177
32,141,117
81,112,363
73,104,176
8,278,470
85,88,479
73,105,184
67,128,209
75,96,127
76,101,154
89,100,219
190,86,302
32,118,162
20,195,599
79,122,163
20,125,251
85,98,170
32,114,149
87,100,224
65,127,164
73,94,173
84,104,164
8,381,371
82,109,433
32,113,147
87,111,261
65,123,148
73,94,173
84,104,164
82,132,344
69,109,147
83,289,217
32,119,432
87,112,237
65,120,145
83,120,169
32,108,152
65,103,272
76,101,136
83,113,140
79,103,111
32,112,157
86,101,249
69,123,160
82,113,120
89,99,153
32,116,164
72,99,280
69,112,103
76,146,162
80,114,240
70,112,215
85,89,119
76,154,193
32,115,209
65,112,174
78,82,133
68,99,101
32,96,88
75,106,284
78,118,117
79,109,160
87,114,125
76,132,186
69,100,138
68,104,186
71,99,202
69,115,152
65,127,155
66,93,174
76,106,154
69,98,115
32,104,152
65,105,259
66,101,129
79,116,105
85,111,89
84,93,121
32,101,174
70,101,229
79,148,129
68,102,235
32,109,149
65,118,117
76,149,117
69,100,138
82,116,128
71,86,236
69,114,149
78,94,159
83,96,188
188,103,303
32,99,176
65,104,204
78,91,100
68,94,82
32,112,127
87,117,177
65,132,169
83,107,140
32,100,139
65,103,272
66,98,174
76,106,154
69,98,115
32,104,152
84,115,114
79,118,93
32,114,104
82,105,159
69,114,120
67,111,239
79,93,130
77,207,219
69,94,271
78,98,130
68,87,215
32,97,166
79,100,295
80,93,245
84,109,126
73,119,107
79,121,141
78,124,145
83,117,179
32,115,205
84,104,191
72,99,91
65,124,111
84,124,125
32,111,117
87,106,234
69,159,156
82,141,156
69,111,144
32,109,197
67,103,275
79,127,120
77,104,145
80,82,193
65,113,176
84,113,160
73,115,114
66,91,167
76,108,156
69,96,124
32,98,150
87,113,240
73,93,104
84,98,121
72,99,74
32,98,144
77,87,248
89,101,230
32,111,136
87,122,193
73,96,106
70,133,175
69,124,249
222,95,212
83,107,108
32,113,281
65,116,145
76,101,136
69,100,138
82,116,128
71,86,236
89,96,205
32,110,161
84,102,255
79,107,108
32,125,113
83,102,197
72,95,123
69,97,180
76,146,162
70,101,145
73,107,134
83,97,143
72,94,126
190,123,359
32,122,226
20,195,599
87,112,222
20,125,251
69,114,156
32,108,139
87,113,240
69,142,193
82,141,156
69,111,144
32,109,197
86,106,340
69,147,153
82,118,97
89,105,181
32,116,164
83,103,190
65,121,140
84,113,160
73,115,114
83,108,132
70,112,215
73,107,134
69,103,144
68,93,193
32,114,97
87,119,215
73,95,99
84,99,116
72,97,154
32,98,144
79,104,216
85,103,146
82,104,273
32,116,151
77,107,202
69,101,129
65,126,142
76,101,158
32,109,203
65,112,174
78,82,133
68,99,101
32,96,88
86,80,406
69,123,160
82,113,120
89,99,153
32,116,164
72,99,280
65,119,95
80,230,163
89,78,383
32,110,161
87,122,193
73,96,106
84,100,126
72,100,98
32,98,144
84,113,131
72,99,101
69,104,96
32,113,93
83,122,223
69,131,185
82,95,137
86,95,254
73,102,158
67,116,123
69,114,165
188,116,433
32,92,160
65,119,158
78,87,113
68,93,97
32,112,127
72,99,224
73,98,118
71,102,134
72,96,87
76,117,189
89,102,175
32,116,118
82,117,212
69,102,103
67,110,201
79,94,96
77,207,219
69,94,271
78,98,130
68,87,215
32,97,166
20,141,393
73,88,186
20,97,116
90,181,299
65,115,444
75,96,152
65,111,230
89,91,156
65,118,180
32,109,156
20,141,393
70,112,215
20,125,251
85,98,170
189,119,282
71,99,202
65,116,174
190,181,349
32,126,284
20,195,599
73,88,186
20,97,116
32,94,119
69,106,252
83,130,239
80,97,180
69,87,128
67,107,195
73,86,109
65,106,127
76,153,118
89,102,314
32,128,193
82,117,212
69,102,103
67,110,201
79,94,96
77,207,219
69,94,271
78,98,130
68,87,215
32,97,166
84,88,329
72,91,106
69,104,103
32,103,128
80,106,247
79,120,162
82,95,162
75,87,239
32,92,216
82,112,272
73,91,118
66,91,167
32,120,159
84,105,191
65,120,156
67,117,212
79,107,198
83,118,171
32,111,233
65,116,196
83,122,152
32,99,166
65,106,208
78,105,111
32,106,123
65,112,195
80,220,132
69,82,295
84,124,191
73,103,207
90,232,233
69,92,187
82,116,128
32,126,144
65,116,274
78,95,122
68,111,98
32,130,118
84,100,219
72,101,94
69,104,103
32,103,128
83,122,223
69,131,185
65,139,192
82,114,121
69,113,117
68,87,297
32,105,214
83,99,270
65,121,140
76,95,121
77,106,203
79,116,178
78,114,148
32,110,159
82,115,273
79,95,101
76,199,205
83,112,150
190,106,292
