VK,HT,FT
16,405,-1
71,105,276
65,124,309
89,99,165
32,111,205
80,105,326
69,95,174
79,98,183
80,102,159
76,115,181
69,102,117
32,108,150
65,134,237
82,131,138
69,129,102
32,102,110
83,137,211
79,120,170
77,97,123
69,89,104
32,100,116
79,105,222
70,101,108
32,102,110
84,104,122
72,96,91
69,105,101
32,107,99
78,120,398
73,117,208
67,105,169
69,111,250
83,156,212
84,104,162
32,117,120
80,114,294
69,127,121
79,95,128
80,107,193
76,115,181
69,102,117
32,108,150
16,357,318
73,103,195
32,100,154
72,79,341
65,95,86
86,104,141
69,110,129
32,103,140
69,107,218
86,105,198
69,116,161
82,112,140
32,106,181
77,99,338
69,102,135
84,98,186
190,104,240
32,164,287
16,401,300
73,99,215
78,98,292
32,118,158
70,101,230
65,115,189
67,100,166
84,97,225
188,108,284
32,112,155
16,256,274
73,114,181
32,102,148
87,93,208
79,111,119
82,118,150
75,91,162
32,106,200
16,340,343
57,98,145
79,111,170
82,101,137
32,106,154
72,95,413
65,118,110
86,104,141
69,110,129
32,103,140
87,103,221
79,105,118
82,115,156
75,91,162
69,103,126
68,104,212
32,110,161
87,101,308
73,108,122
84,112,126
72,91,101
16,347,365
48,97,129
32,107,264
65,114,202
84,173,159
32,115,116
76,120,321
69,102,137
65,127,172
83,116,144
84,109,240
32,105,159
79,106,176
78,102,103
69,100,132
32,111,142
79,105,171
82,101,144
32,104,153
84,114,305
87,108,210
79,98,138
32,114,180
80,115,311
69,106,133
79,105,152
80,105,133
76,115,181
69,102,117
32,108,150
87,101,253
72,97,144
79,126,184
32,102,198
65,118,219
82,142,202
69,117,112
32,103,127
71,88,341
65,93,138
89,88,110
190,101,383
32,154,253
16,311,436
73,99,215
78,98,292
32,118,158
65,103,200
68,123,208
73,86,220
84,100,207
73,144,106
79,133,117
78,105,142
32,108,195
84,106,176
79,110,110
32,102,146
84,99,187
72,89,135
65,117,106
84,102,116
32,106,121
16,204,182
73,92,96
222,112,260
77,107,225
32,110,186
78,109,246
79,112,147
84,99,121
32,102,136
71,97,370
65,111,170
89,98,187
188,108,330
32,98,148
66,94,291
85,97,150
84,94,120
32,99,116
65,95,509
32,101,120
70,108,260
69,184,166
87,104,144
32,104,139
80,106,270
69,111,147
79,103,129
80,104,148
76,115,181
69,102,117
32,108,150
65,134,237
67,152,216
84,85,247
85,95,162
65,105,158
76,145,143
89,105,315
32,106,137
72,102,338
65,109,110
86,83,122
69,96,94
32,103,140
65,120,164
83,127,119
75,101,203
69,103,126
68,104,212
32,110,161
77,101,402
69,102,135
32,100,118
16,357,318
73,103,195
8,291,500
73,93,652
70,131,180
32,107,168
16,230,264
73,103,195
32,100,154
65,96,210
77,91,111
188,104,327
32,108,169
66,94,291
85,97,150
84,94,120
32,99,116
16,253,293
73,92,96
32,100,154
68,86,222
79,86,109
78,85,135
222,89,273
84,81,130
32,88,212
70,93,305
69,184,166
76,111,309
32,108,290
65,110,182
83,117,165
72,93,139
69,108,118
77,95,191
8,284,480
65,118,443
77,94,155
69,102,137
68,104,212
32,110,161
79,129,188
82,101,144
32,104,153
84,114,305
65,127,214
75,87,137
69,97,121
78,100,182
32,109,174
65,114,181
66,93,204
65,125,140
67,105,164
75,106,129
32,100,196
66,95,270
89,101,199
32,96,147
84,99,254
72,89,107
69,89,228
83,138,261
69,114,160
32,109,133
67,104,271
79,117,90
77,187,167
69,107,131
78,84,197
84,105,133
83,125,255
190,108,339
32,143,273
16,387,384
73,99,215
32,98,196
69,105,272
77,97,202
66,99,257
82,100,175
