VK,HT,FT
16,101,-1
71,77,124
85,53,90
78,75,162
32,83,83
16,105,310
67,106,177
79,92,135
78,86,67
84,58,114
82,84,131
79,53,87
76,62,175
32,93,140
73,71,321
83,72,61
32,139,64
83,83,289
73,86,141
77,58,74
80,97,172
76,100,217
89,61,219
32,81,75
65,98,220
32,99,89
77,67,366
65,92,138
84,99,92
69,99,97
82,68,53
32,99,89
79,85,248
70,83,105
32,111,64
67,94,253
79,92,135
77,144,86
79,84,160
78,76,75
32,94,88
83,83,289
69,88,78
78,65,112
83,107,85
69,88,78
190,52,489
32,99,89
16,105,310
87,89,256
69,80,105
32,94,70
82,107,297
69,64,81
71,77,124
73,86,141
83,72,69
84,81,118
69,99,97
82,68,53
32,99,89
65,98,220
78,77,114
68,85,68
32,98,70
67,94,253
79,92,135
78,86,67
84,58,114
82,84,131
79,53,87
76,62,175
32,93,140
65,98,220
76,126,121
32,93,140
8,274,489
76,100,217
32,93,140
77,67,366
65,92,138
78,80,99
69,74,73
82,68,53
32,99,89
79,85,248
70,83,105
32,111,64
76,94,520
69,60,118
83,141,231
32,112,134
68,80,148
65,92,138
78,80,99
71,89,65
69,80,105
82,68,53
79,57,91
85,67,108
83,101,165
32,120,94
80,62,172
82,81,78
79,57,91
68,80,148
85,67,108
67,106,177
84,83,152
83,101,165
188,66,157
32,88,75
66,105,223
85,67,108
84,83,152
32,102,65
70,73,358
73,82,123
71,77,124
72,80,91
84,83,152
32,102,65
65,98,220
78,77,114
89,67,159
32,83,86
72,80,91
73,86,141
78,78,86
84,61,139
32,102,65
79,85,248
70,83,105
32,111,64
82,107,297
69,64,81
71,77,124
85,53,90
76,76,152
65,83,103
84,99,92
73,130,114
79,78,145
78,76,75
32,94,88
79,85,248
70,83,105
32,111,64
68,80,148
69,75,182
86,72,109
73,86,141
67,113,126
69,80,105
83,141,231
32,112,134
68,80,148
69,75,182
83,141,231
73,86,141
71,77,124
78,75,114
69,74,73
68,92,153
32,99,70
83,83,289
79,77,82
76,62,175
69,60,118
76,100,217
89,61,219
32,81,75
84,74,112
79,67,73
32,91,64
75,96,101
73,86,141
76,154,138
190,52,489
32,99,89
16,105,310
73,86,141
32,99,89
83,83,289
72,80,91
79,76,103
85,67,108
76,76,152
68,80,148
32,99,70
67,94,253
76,100,217
65,83,103
82,90,153
73,81,99
70,92,201
89,67,159
32,83,86
84,74,112
72,60,87
65,112,74
84,90,75
32,101,58
16,105,310
71,77,124
85,53,90
78,75,162
32,83,83
16,105,310
67,106,177
79,92,135
78,86,67
84,58,114
82,84,131
79,53,87
76,62,175
32,93,140
68,80,148
79,78,145
69,80,105
83,141,231
32,112,134
78,75,114
79,78,145
84,83,152
32,102,65
77,67,366
69,73,83
65,95,147
78,80,99
188,66,157
32,88,75
65,100,138
83,101,165
32,120,94
79,81,336
80,97,172
79,78,145
78,76,75
69,74,73
78,65,112
84,60,156
83,101,165
32,120,94
79,81,336
70,83,105
84,83,152
69,99,97
78,65,112
32,94,88
67,94,253
76,100,217
65,83,103
73,121,96
77,58,74
188,66,157
32,88,75
66,105,223
69,80,105
65,95,147
78,80,99
73,86,141
78,78,86
8,215,487
65,92,138
78,80,99
73,86,141
78,78,86
71,89,65
32,97,88
65,98,220
78,77,114
89,67,159
32,83,86
65,98,220
78,77,114
68,85,68
32,98,70
65,98,220
76,126,121
32,93,140
87,95,301
69,80,105
65,95,147
80,97,172
79,78,145
78,76,75
83,107,85
190,52,489
32,99,89
16,105,310
73,86,141
84,89,152
32,102,65
83,83,289
73,86,141
77,58,74
80,97,172
76,100,217
89,61,219
32,81,75
77,67,366
69,73,83
65,95,147
78,80,99
83,107,85
32,93,111
84,74,281
65,92,138
75,860,928
73,86,141
78,78,86
71,89,65
32,97,88
83,83,289
79,77,82
77,144,86
69,73,83
32,94,70
83,83,289
84,81,118
69,99,97
80,97,172
83,101,165
32,120,94
84,74,281
79,67,73
32,91,64
82,107,297
69,64,81
71,77,124
85,53,90
76,76,152
65,83,103
84,99,92
69,99,97
32,94,70
87,95,301
72,90,64
79,76,103
32,95,68
83,83,289
65,92,138
8,215,487
72,80,91
65,112,74
83,101,165
32,120,94
65,100,210
67,106,177
69,80,105
8,215,487
67,81,177
69,80,105
83,141,231
32,112,134
8,274,489
83,101,165
32,120,94
84,74,281
79,67,73
32,91,64
70,73,358
73,82,123
82,90,153
69,81,70
65,95,147
82,90,153
77,79,172
83,101,165
188,66,157
32,88,75
65,100,138
78,74,126
68,86,71
32,95,78
87,95,301
72,90,64
65,112,74
84,90,75
32,101,58
75,653,798
73,86,141
78,78,86
68,85,93
83,101,165
190,52,489
32,99,89
16,105,310
65,76,50
82,90,153
71,77,124
85,53,90
77,79,172
69,73,83
78,65,112
84,60,156
83,101,165
32,120,94
65,100,210
66,90,195
79,78,145
85,67,108
84,83,152
32,102,65
67,94,253
79,92,135
78,86,67
83,107,85
84,81,118
73,130,114
84,89,152
85,67,108
84,83,152
73,130,114
79,78,145
78,76,75
65,92,138
76,126,121
73,86,141
84,89,152
89,67,159
32,83,86
65,98,220
82,90,153
69,81,70
32,94,70
70,73,358
76,100,217
65,83,103
87,89,256
69,80,105
68,92,153
188,66,157
32,88,75
65,100,138
83,101,165
32,120,94
87,95,301
69,80,105
65,95,147
80,97,172
79,78,145
78,76,75
83,107,85
32,93,111
84,74,281
69,99,97
67,106,177
72,80,91
79,76,103
8,215,487
78,75,114
79,78,145
76,62,175
79,78,145
71,77,124
89,67,159
32,83,86
65,98,220
78,77,114
68,85,68
32,98,70
84,75,191
72,69,71
69,97,32
32,102,82
82,107,297
69,64,81
76,100,217
65,83,103
84,99,92
72,87,73
73,86,141
79,78,145
8,215,487
73,86,141
79,78,145
78,76,75
83,107,85
72,80,91
73,86,141
80,97,172
32,99,89
66,105,223
69,80,105
84,83,152
87,89,256
69,80,105
78,65,112
32,94,88
71,69,124
79,78,145
86,72,109
69,88,132
82,68,53
78,75,114
77,79,172
69,73,83
78,65,112
84,60,156
32,102,65
65,98,220
78,77,114
68,85,68
32,98,70
67,94,253
73,86,141
84,89,152
73,130,114
90,655,282
69,80,105
78,65,112
82,90,153
89,67,159
32,83,86
72,80,91
65,112,74
86,72,109
69,88,132
32,94,70
67,94,253
72,80,91
65,112,74
78,80,99
71,89,65
69,80,105
68,92,153
32,99,70
68,80,148
82,90,153
65,92,138
83,101,165
84,81,118
73,130,114
67,113,126
65,76,90
76,126,121
89,61,219
32,81,75
79,85,248
86,72,109
69,88,132
82,68,53
32,99,89
84,75,191
72,69,71
69,97,32
32,102,82
80,62,172
65,92,138
83,101,165
84,81,118
32,102,65
50,475,547
53,243,169
48,866,978
32,99,89
89,67,159
69,80,105
65,95,147
82,90,153
83,101,165
190,52,489
32,99,89
16,105,310
65,76,50
80,97,172
76,100,217
73,86,141
69,80,105
68,92,153
32,99,70
87,95,301
73,58,120
84,89,152
72,87,73
32,92,93
74,359,206
85,67,108
68,80,148
71,77,124
77,79,172
69,73,83
78,65,112
84,60,156
188,66,157
32,88,75
82,107,297
69,64,81
