VK,HT,FT
16,437,-1
77,93,273
89,93,305
32,107,131
70,95,244
82,114,195
73,97,135
69,86,118
78,94,171
68,108,183
32,100,181
16,229,256
82,110,136
8,272,453
82,96,461
69,116,171
67,132,248
79,106,195
77,223,204
69,91,316
78,105,125
68,97,157
69,139,178
68,111,191
32,97,258
84,103,206
72,131,128
73,112,130
83,104,99
32,102,116
80,102,258
76,105,153
65,100,98
67,108,156
69,117,154
32,107,156
65,124,182
68,172,198
32,99,186
83,117,251
65,121,160
8,246,467
78,101,453
68,103,131
32,103,124
83,108,254
65,121,160
73,107,151
32,115,241
8,406,547
68,100,441
32,116,141
84,106,226
72,106,109
65,125,104
84,109,120
32,103,119
16,203,162
73,111,75
32,105,139
72,112,180
65,115,101
68,108,153
32,93,191
84,96,157
79,114,100
32,99,127
84,91,152
82,112,183
89,93,123
32,94,234
73,108,308
84,100,159
16,329,336
49,106,185
32,173,296
16,316,421
83,109,201
69,118,181
8,315,463
72,93,483
69,114,124
32,105,140
8,552,543
16,336,680
49,121,257
32,173,296
73,105,235
77,130,182
32,105,183
83,114,249
79,120,112
32,111,177
71,97,279
76,103,155
65,116,139
68,112,269
32,99,186
83,117,251
72,109,126
69,121,145
32,103,119
84,99,300
79,109,138
76,136,230
68,102,220
32,116,124
77,97,423
69,117,135
32,104,136
65,118,181
66,91,144
79,123,113
85,105,80
84,103,94
32,99,122
73,102,207
84,93,180
32,106,132
16,251,246
49,115,186
32,173,296
73,105,235
32,110,170
84,105,204
82,112,183
73,108,140
69,88,120
68,105,199
32,118,94
84,103,206
72,131,128
69,117,106
32,112,105
83,113,205
79,136,102
66,105,201
65,123,135
32,106,152
78,109,277
79,115,145
68,108,294
76,108,197
69,117,117
83,137,203
32,110,178
65,127,193
78,124,106
68,110,105
32,103,100
84,112,232
72,105,103
69,112,123
89,107,141
32,109,146
87,112,212
69,143,147
82,157,142
69,133,120
32,125,192
83,122,416
79,136,102
77,104,113
69,102,96
32,91,163
79,122,289
70,95,112
32,106,105
84,119,155
72,105,90
69,118,112
32,102,131
66,96,264
69,142,155
83,146,135
84,108,136
32,105,147
16,281,390
73,101,120
32,105,139
72,112,180
65,115,101
68,108,153
32,93,191
69,132,269
86,85,183
69,127,139
82,104,140
32,90,168
72,104,225
